0.33,-4.46,0
5.74,5.28,0
2.67,5.66,0
1.58,-4.71,0
2.95,2.25,0
0.52,-3.26,0
3.74,9.59,0
-1.73,2.02,0
3.88,10.03,0
3.53,1.28,0
4.45,2.5,0
-0.16,-6.46,0
4.22,9.46,0
3.52,6.82,0
1.7,2.91,0
1.06,2.45,0
2.04,1.24,0
3.56,1.31,0
3,5.81,0
3.93,1.41,0
3.47,-4.07,0
3.97,3.92,0
1.02,2.33,0
0.96,5.62,0
1.82,6.76,0
4.99,7.87,0
-1.18,11.51,0
4.03,0.23,0
0.66,10.39,0
3.6,7.13,0
-1.86,7.89,0
4.1,0.47,0
3.33,0.91,0
3.11,3.11,0
-4.29,8.52,0
-1.25,10.2,0
0.52,-3.26,0
0.33,-4.46,0
0.89,5.34,0
3.55,9.37,0
-0.22,8.03,0
2.72,9.08,0
3.21,8.69,0
2.69,10.82,0
-2.32,11.52,0
2.72,-4.2,0
3.38,3.27,0
1.75,4.8,0
2.81,0.58,0
5.78,5.58,0
3.9,1.73,0
3.52,6.33,0
3.23,7.74,0
3.5,3.16,0
2.19,1.38,0
2.25,9.96,0
4.15,-3.94,0
0.74,11.17,0
1.91,8.87,0
-1.51,0.07,0
0.59,10.77,0
3.23,7.84,0
-1.99,11.65,0
2.85,9.01,0
4.28,2.5,0
1.51,0.04,0
5.42,10.15,0
0.86,2.7,0
3.81,10.15,0
0.55,10.38,0
2.37,7.49,0
-2.5,11.15,0
4.64,-2.66,0
-2.25,11.53,0
3.8,10.42,0
-0.36,8.29,0
2.13,6.88,0
0.87,5.56,0
3.78,10.05,0
-2.26,12.12,0
1.26,4.43,0
2.68,3.13,0
-0.4,5.98,0
4.39,0.36,0
2.97,5.62,0
1.3,-0.16,0
2.21,-5.84,0
1.96,6.94,0
3.09,-2.58,0
0.38,0.71,0
0.59,7.43,0
0.15,7.95,0
-0.06,6.2,0
4.22,1.13,0
0.64,7.1,0
1.94,0.46,0
4,0.46,0
3.78,9.78,0
3.48,-0.15,0
1.98,9.26,0
3.8,-3.87,0
4.35,11.11,0
1.15,1.39,0
-1.26,1.59,0
1.96,-5.12,0
-2.48,12.16,0
-1.15,1.3,0
4.84,10.01,0
-0.12,8.81,0
1.94,6.4,0
1.74,-4.81,0
-1.52,10.84,0
-1.3,10.27,0
3.42,-0.15,0
2.55,-4.95,0
1.57,6.35,0
1.31,4.92,0
5.18,8.23,0
2.23,9.63,0
5.63,10.09,0
1.21,8.8,0
0.38,0.71,0
0.54,6.03,0
4.05,5.68,0
4.73,2.11,0
3.44,0.66,0
0.87,10.24,0
3.36,9.8,0
3.67,2.99,0
1.33,6.12,0
3.19,-3.41,0
2.45,2.97,0
3.91,2.97,0
3.94,10.59,0
3.94,-3.29,0
3.69,-3.96,0
5.68,7.8,0
0.77,9.09,0
3.58,9.78,0
1.6,6.13,0
2.67,10.22,0
2,1.86,0
0.64,3.13,0
4.38,-3.07,0
0.77,9.06,0
0.97,8.39,0
3.09,8.73,0
4.94,7.6,0
-1.95,11.22,0
5.74,-0.44,0
-2.7,12.2,0
1.15,3.6,0
2.97,8.96,0
4.57,7.21,0
0.18,6.51,0
0.87,9.29,0
0.4,6.89,0
3.84,6.19,0
2.82,7.31,0
2.58,9.75,0
3.82,0.23,0
0.38,0.71,0
3.49,6.69,0
-1.78,0.85,0
2.1,2.48,0
0.95,-0.57,0
2.83,9.4,0
0.01,8.37,0
0.97,7.19,0
4.74,2.11,0
3.66,7.28,0
3.88,6.4,0
3.48,8.81,0
1.13,7.92,0
2.82,2.86,0
1.93,6.04,0
3.06,-3.33,0
-1.84,10.83,0
2.81,11.3,0
2.57,-4.41,0
-0.13,10.32,0
3.38,-4.1,0
-0.05,-1.6,0
0.57,-0.02,0
0.88,6.59,0
3.86,3.71,0
1.3,2.58,0
2.01,-6.86,0
4.93,0.28,0
2.83,6.35,0
2.57,8.63,0
2.09,8.31,0
4.6,5.63,0
5.06,-0.36,0
-0.3,9.05,0
3.58,2.4,0
3.94,2.5,0
2.66,10.75,0
5.94,6.17,0
2.02,1.85,0
5.88,5.94,0
-2.4,12.61,0
1.76,4.37,0
4.24,-2.49,0
3.47,6.87,0
3.19,5.75,0
0.81,9.16,0
0.53,0.96,0
2.13,-2.04,0
0.33,4.57,0
1.27,8.82,0
2.21,7.46,0
2.53,7.53,0
3.62,1.46,0
-1.39,12.5,0
5.72,5.83,0
3.36,10.36,0
2.52,2.24,0
0.05,6.73,0
4.83,7.76,0
1.95,-4.77,0
2.77,0.66,0
-0.11,-0.77,0
0.72,-0.05,0
4.25,1.48,0
3.98,0.34,0
3.67,4.3,0
2.82,10.85,0
-1.42,11.65,0
4.25,1.2,0
4.1,-4.81,0
1.45,8.79,0
3.46,-3.92,0
1.85,6.15,0
3.53,0.72,0
3.97,1.04,0
3.53,9.36,0
3.69,9.89,0
3.07,-4.41,0
2.65,-4.82,0
2.29,3.73,0
1.57,7.93,0
4.04,0.52,0
4.38,-4.88,0
2.02,-0.25,0
4.04,11.17,0
-0.34,-0.65,0
-2.46,12.73,0
4.12,10.93,0
2.02,0.82,0
1.57,7.91,0
2.64,7.59,0
5.02,8.08,0
4.34,3.33,0
1.82,-6.77,0
3.94,0.93,0
2.25,-5.14,0
5.5,10.37,0
2.85,9.17,0
1.17,9.16,0
2.61,8.01,0
0.32,10.07,0
3.9,-4.79,0
2.18,-0.81,0
1.16,8.93,0
4.71,8.3,0
-1.97,11.81,0
4.06,0.4,0
2.37,-6.84,0
0.34,6.84,0
4.34,-5.3,0
1.55,8.55,0
1.43,8.38,0
-0.28,8.19,0
0.94,8.64,0
4.64,-3.01,0
1.53,-5.59,0
0.96,2.47,0
-2.79,1.77,0
5.2,3.51,0
3.18,7.23,0
0.65,5.18,0
5.61,10.3,0
1.11,7.44,0
3.93,-2.92,0
1.16,6.4,0
2.56,2.62,0
2.78,10.98,0
3.76,2.78,0
-2.65,10.14,0
1.07,8.37,0
-1.43,11.88,0
5.75,10.18,0
5.09,3.28,0
3.41,5.4,0
-0.24,9.32,0
3.82,9,0
-1.14,1.81,0
4.92,0.69,0
2.51,6.84,0
-0.21,9.22,0
3.95,6.85,0
-0.28,8.19,0
1.86,3.21,0
0.57,7.63,0
3.46,-4.45,0
3.4,1.15,0
5.04,-0.53,0
3.78,7.18,0
4.66,7.64,0
4.09,-2.97,0
1.84,6.06,0
2.02,0.44,0
3.53,0.72,0
3.76,-5.42,0
2.6,3.52,0
1.9,0.97,0
3.69,-3.95,0
4.43,-2.35,0
6.82,5.22,0
1.9,-2.52,0
2.15,-6.17,0
3.3,7.08,0
2.72,7.05,0
3.88,-3.03,0
4.17,-0.44,0
0.94,5.86,0
5.13,-0.03,0
0.38,6.81,0
3.03,-2.59,0
2.92,6.05,0
1.16,10.29,0
3.78,2.58,0
0.78,5.98,0
-0.38,-1.05,0
0.21,9.44,0
2.96,-4.59,0
4.64,-3.37,0
3.36,-4.31,0
3.51,2.91,0
2.66,10.7,0
-1.36,10.69,0
-0.28,8.19,0
1.04,-6.93,0
2.19,2.74,0
4.28,-2.65,0
-0.12,6.87,0
2.97,8.79,0
3.78,-3.31,0
5.36,3.76,0
1.84,6.13,0
1.23,0.9,0
-0.05,-0.56,0
0.57,-0.02,0
4.36,0.46,0
3.48,-4.16,0
0.52,-3.26,0
2.32,-2.63,0
-1.83,11.03,0
1.38,8.88,0
-0.17,5.9,0
0.3,7.13,0
0.25,9.33,0
2.47,1.39,0
0.78,6.64,0
3.45,2.95,0
2.24,-4.14,0
3.73,-3.88,0
4.34,-3.58,0
-2.08,10.82,0
4.07,7.64,0
0.76,5.82,0
-0.54,7.33,0
2.62,5.79,0
3.02,-3.34,0
5.85,5.39,0
0.57,-0.02,0
3.98,11.15,0
1.55,9.18,0
0.74,0.37,0
0.5,10.22,0
1.65,7.86,0
3.61,6.86,0
3.24,-3.71,0
3.92,10.25,0
3.93,6.03,0
5.59,10.46,0
3.75,-3.7,0
1.31,4.55,0
3.7,6.99,0
4.36,-3.1,0
3.58,1.44,0
4.65,-4.83,0
5.17,3.96,0
3.27,3.42,0
2.4,1.62,0
1.73,-4.47,0
4.8,6.99,0
4.1,10.19,0
2.56,3.36,0
3.49,8.57,0
0.52,-3.26,0
2.99,7.27,0
4.09,5.41,0
1.77,-0.77,0
5.2,0.33,0
-0.45,-1.37,0
4.85,8.11,0
0.75,7.28,0
5.12,8.56,0
3.62,-3.75,0
0.04,8.52,0
-2.65,10.14,0
0.38,0.71,0
-0.96,0.09,0
2.87,10,0
1.02,9.11,0
-2.71,11.45,0
3.82,-3.11,0
2.8,2.12,0
3.54,6.71,0
-0.71,8.72,0
4.15,7.28,0
0.93,9.43,0
1.82,-6.47,0
-2.45,12.62,0
3.59,-3.1,0
0.66,9.66,0
4.79,1.71,0
4.99,8.35,0
0.76,3.03,0
4.65,7.63,0
-0.02,7.17,0
0.86,0.01,0
0.88,0.66,0
4.04,-4.39,0
2.25,8.1,0
0.38,6.6,0
3.15,-5.17,0
2.4,0.24,0
4.71,2.08,0
4.01,10.15,0
2.66,3.17,0
3.93,1.85,0
0.02,8.69,0
3.24,0.41,0
2.25,3.58,0
-1.4,3.32,1
0.39,-0.14,1
-1.67,-7.15,1
-3.85,-12.8,1
-3.57,-8.21,1
-2.28,-0.31,1
-1.76,2.74,1
-0.89,3.2,1
0.34,0.12,1
-0.99,-6.66,1
-2.41,-9.14,1
-1.53,-6.25,1
-0.61,-0.09,1
-0.37,2.89,1
-5.9,6.57,1
-1.82,2.75,1
-0.77,-1.88,1
-1.82,-9.04,1
-3.58,-12.93,1
-1.82,-6.88,1
-0.35,-0.39,1
0.47,3.36,1
-3.41,4.86,1
-1.67,-0.3,1
-2.1,-7.11,1
-2.67,-10.45,1
-0.47,-4.35,1
1.06,1.19,1
1.16,3.81,1
-4.48,7.37,1
-2.73,0.46,1
-2.29,-5.45,1
-1.62,-6.34,1
0.51,0.48,1
1.64,4.25,1
0.82,4.84,1
-5.49,9.1,1
-3.22,2.79,1
-2.06,-1.51,1
-0.91,-2.01,1
0.6,1.93,1
0.91,3.34,1
-0.28,3.07,1
-3.61,3.33,1
-6.2,8.68,1
-4.29,3.34,1
-3.03,-0.06,1
-1.7,-0.01,1
-0.64,2.47,1
-0.86,1.93,1
-2.07,1.05,1
-2.13,1.57,1
-1.26,-1.47,1
-3.11,-6.84,1
-4.86,-5.9,1
-2.59,3.87,1
0.24,1.47,1
-1.53,-5.1,1
-4,-13.5,1
-4.02,-8.31,1
-3.07,-0.53,1
-1.98,3.23,1
-0.43,-0.15,1
-2.23,-7.03,1
-4.21,-12.47,1
-3.81,-8.1,1
-2.59,-0.11,1
-2.25,3.09,1
-1.44,3.29,1
-0.39,-0.02,1
-1.52,-6.64,1
-2.83,-9.04,1
-1.73,-6.02,1
-0.94,0.04,1
-0.9,3,1
-6.28,6.67,1
-2.32,3.17,1
-1.34,-2.08,1
-2.26,-9.33,1
-3.89,-12.85,1
-1.9,-6.79,1
-0.53,-0.25,1
0.01,3.56,1
-3.88,4.9,1
-2.14,-0.17,1
-2.48,-7.3,1
-2.91,-10.07,1
-0.61,-4,1
0.84,1.11,1
0.61,3.95,1
-4.89,7.05,1
-3.14,0.42,1
-2.58,-5.66,1
-1.88,-6.59,1
0.24,0.57,1
1.3,4.29,1
0.26,5.01,1
-5.87,9.18,1
-3.46,2.69,1
-2.38,-1.44,1
-1.24,-1.72,1
0.2,1.92,1
0.6,3.5,1
-0.78,3.23,1
-4.14,3.46,1
-6.51,8.77,1
-4.5,3.43,1
-3.31,0.1,1
-1.94,0.38,1
-0.76,2.53,1
-0.95,1.98,1
-2.22,1.47,1
-2.8,1.97,1
-1.86,-0.85,1
-3.59,-6.23,1
-5.12,-5.31,1
-3.29,4.04,1
-0.57,1.42,1
-2.35,-4.84,1
-4.49,-13.29,1
-4.39,-7.73,1
-3.36,-0.33,1
-1.01,3,1
0.03,-1.05,1
-1.65,-8.5,1
-3.27,-12.74,1
-2.57,-6.85,1
-1.31,0.25,1
-1.66,3.29,1
-0.55,2.87,1
0.21,-0.7,1
-0.77,-7.45,1
-1.84,-9.09,1
-0.63,-5.13,1
0,0.63,1
-0.29,3.18,1
-5.24,6.63,1
-1.44,2.14,1
-0.66,-2.8,1
-1.54,-10.15,1
-2.9,-12.02,1
-0.81,-5.74,1
0.5,0.65,1
0.75,3.64,1
-2.91,4.05,1
-1.39,-1.38,1
-1.79,-8.12,1
-1.73,-9.28,1
0.55,-3.46,1
2.03,1.85,1
1.23,4.03,1
-4.22,6.27,1
-2.53,-0.77,1
-1.75,-6.33,1
-0.54,-5.17,1
1.56,0.9,1
2.39,4.56,1
0.9,4.77,1
-5.48,8.18,1
-2.88,1.77,1
-1.42,-2.25,1
0.43,-0.95,1
1.59,2.21,1
1.74,3.68,1
-0.23,3.24,1
-3.62,4,1
-6.15,7.93,1
-3.92,2.67,1
-2.22,-0.24,1
-0.49,0.89,1
0.27,2.41,1
-0.1,1.82,1
-1.62,1.09,1
-1.84,1.25,1
-1.28,-2.41,1
-2.9,-7.66,1
-4.38,-5.52,1
-2.05,3.84,1
0.19,0.7,1
-1.73,-6.84,1
-3.38,-13.77,1
-3.13,-7.11,1
-2.12,-0.06,1
-1.77,3.43,1
0,0.14,1
-1.68,-6.81,1
-3.49,-12.17,1
-3.12,-8.63,1
-2.09,-0.48,1
-1.69,2.79,1
-1.28,3.27,1
-0.09,0.39,1
-1.03,-6.39,1
-2.21,-9.11,1
-1.07,-6.31,1
-0.51,-0.24,1
-0.36,3.04,1
-6.4,6.45,1
-2.25,3.31,1
-1.19,-1.25,1
-1.81,-8.81,1
-3.39,-12.99,1
-1.41,-7.11,1
-0.21,-0.68,1
0.49,3.57,1
-3.82,5.14,1
-1.96,0.21,1
-2.18,-6.45,1
-2.33,-9.95,1
0,-4.01,1
1.35,1.06,1
1.23,3.89,1
-5.03,7.5,1
-3.08,0.61,1
-2.3,-5.23,1
-1.24,-6.54,1
0.76,0.29,1
1.68,4.21,1
0.64,5.2,1
-6.06,9.3,1
-3.52,2.88,1
-2.03,-1.41,1
-0.7,-1.77,1
0.75,1.92,1
0.85,3.48,1
-0.56,3.21,1
-3.68,3.22,1
-6.75,8.82,1
-4.58,3.45,1
-2.99,0.31,1
-1.48,0.14,1
-0.47,2.34,1
-0.87,1.65,1
-2.12,1.18,1
-2.31,2.08,1
-1.42,-0.99,1
-3.09,-6.64,1
-4.73,-6.18,1
-2.88,3.9,1
-0.04,1.53,1
-1.71,-4.78,1
-3.82,-13.06,1
-3.72,-8.51,1
-2.9,-0.6,1
-0.98,2.8,1
-0.17,-1.18,1
-1.94,-8.68,1
-3.57,-12.49,1
-2.99,-6.63,1
-1.85,0.31,1
-2.27,3.3,1
-0.51,2.87,1
0.14,-1.09,1
-0.91,-7.9,1
-2,-9.37,1
-0.94,-5.1,1
-0.41,0.54,1
-0.82,3.38,1
-4.84,6.68,1
-1.28,2.14,1
-0.66,-3.23,1
-1.77,-10.77,1
-3.01,-12.24,1
-1.1,-5.84,1
0.12,0.39,1
0.12,3.74,1
-2.73,3.92,1
-1.24,-1.69,1
-1.84,-8.65,1
-1.86,-9.6,1
0.16,-3.36,1
1.51,1.96,1
0.68,4.12,1
-3.99,5.83,1
-2.39,-0.78,1
-1.8,-6.77,1
-0.71,-5.56,1
1.02,1.1,1
1.79,4.78,1
0.27,4.88,1
-5.17,8.04,1
-2.7,1.63,1
-1.49,-2.22,1
-0.01,-1.02,1
0.89,2.26,1
1.06,3.7,1
-0.85,3.13,1
-3.96,4.03,1
-5.88,7.66,1
-3.77,2.52,1
-2.42,-0.24,1
-0.84,0.8,1
-0.3,2.65,1
-0.6,1.72,1
-2.11,1.18,1
-2.04,1.23,1
-1.56,-2.21,1
-3.23,-7.21,1
-4.84,-4.99,1
-2.31,3.67,1
-0.12,0.6,1
-2.01,-6.72,1
-3.7,-13.68,1
-3.6,-6.54,1
-2.63,0.18,1
-0.83,2.96,1
0.32,-0.99,1
-1.45,-8.44,1
-3.14,-13.04,1
-2.54,-6.96,1
-1.37,0.18,1
-1.71,3.31,1
-0.42,2.91,1
0.38,-0.82,1
-0.55,-7.92,1
-1.6,-9.58,1
-0.37,-5.55,1
0.12,0.22,1
-0.27,3.27,1
-5.12,6.65,1
-1.39,2.31,1
-0.7,-3.38,1
-1.48,-10.52,1
-2.66,-12.81,1
-0.63,-6.3,1
0.52,0.26,1
0.64,3.76,1
-2.98,4.2,1
-1.46,-1.57,1
-1.71,-8.79,1
-1.56,-9.88,1
0.74,-3.77,1
2.02,1.8,1
1.16,3.91,1
-4.37,6.07,1
-2.59,-1.06,1
-1.8,-6.81,1
-0.72,-5.72,1
1.44,0.67,1
2.19,4.55,1
0.74,4.85,1
-5.64,8.13,1
-3.02,1.78,1
-1.67,-2.09,1
-0.13,-1.15,1
1.22,2.1,1
1.45,3.61,1
-0.41,3.1,1
-3.9,3.82,1
-6.37,8.01,1
-4.14,2.77,1
-2.69,-0.1,1
-1.06,0.79,1
-0.3,2.48,1
-0.5,1.77,1
-1.99,1,1
-1.94,1.57,1
-1.44,-1.86,1
-3.19,-7.58,1
-4.68,-5.66,1
-2.03,3.85,1
0.27,0.73,1
-1.76,-6.46,1
-3.6,-13.66,1
-3.36,-7.24,1
-2.36,-0.11,1
-2.18,3.38,1
-0.41,-0.16,1
-2.29,-7.26,1
-4.02,-12.8,1
-3.39,-8.22,1
-2,-0.49,1
-1.71,2.8,1
-1.64,3.36,1
-0.42,0.32,1
-1.59,-6.61,1
-2.6,-9.35,1
-1.52,-6.48,1
-0.53,-0.1,1
-0.49,2.85,1
-6.58,6.8,1
-2.46,2.76,1
-1.4,-1.92,1
-2.32,-9.33,1
-3.73,-12.97,1
-1.7,-7.12,1
-0.27,-0.65,1
0.33,3.31,1
-4.21,4.73,1
-2.31,-0.68,1
-2.48,-7.45,1
-2.76,-10.51,1
-0.36,-4.45,1
1.01,0.9,1
0.97,3.84,1
-5.2,7.26,1
-3.32,-0.03,1
-2.57,-5.79,1
-1.6,-6.57,1
0.7,0.17,1
1.73,3.95,1
0.68,4.85,1
-6.34,9.28,1
-3.81,2.43,1
-2.2,-2.13,1
-0.88,-2.21,1
0.74,1.73,1
0.98,3.42,1
-0.35,3.19,1
-3.86,3.52,1
-6.96,8.99,1
-4.75,3.12,1
-3.21,-0.14,1
-1.75,-0.08,1
-0.6,2.48,1
-0.9,2.03,1
-2.08,1.28,1
-3.28,1.8,1
-2.22,-1.25,1
-3.59,-6.57,1
-5.05,-5.8,1
-3.57,3.94,1
-0.74,1.74,1
-2.26,-4.74,1
-4.24,-13.06,1
-4.02,-8.3,1
-3.02,-0.67,1
-2.49,3.54,1
-0.83,0.04,1
-2.57,-6.88,1
-4.4,-12.94,1
-3.76,-8.29,1
-2.47,-0.4,1
-1.97,2.88,1
-2.01,3.69,1
-0.82,0.65,1
-1.79,-6.35,1
-2.91,-9.47,1
-1.83,-6.59,1
-0.87,-0.03,1
-0.7,2.96,1
-6.74,6.99,1
-2.77,3.28,1
-1.66,-1.37,1
-2.43,-9.25,1
-3.79,-12.71,1
-1.96,-6.98,1
-0.69,-0.5,1
0.03,3.4,1
-4.4,4.96,1
-2.46,-0.24,1
-2.62,-6.86,1
-2.97,-10.33,1
-0.71,-4.44,1
0.6,1,1
0.62,3.89,1
-5.44,7.24,1
-3.58,0.46,1
-2.78,-5.7,1
-1.84,-6.76,1
0.3,0.17,1
1.34,4.13,1
0.27,4.99,1
-6.52,9.6,1
-4.07,2.5,1
-2.56,-1.71,1
-1.34,-1.92,1
0.24,2.09,1
0.62,3.68,1
-0.78,3.4,1
-4.12,3.79,1
-7.04,9.2,1
-4.95,3.57,1
-3.54,0.3,1
-2.07,0.17,1
-0.89,2.81,1
-1.09,2.31,1
-2.45,1.63,1
-3.55,1.9,1
-2.28,-0.86,1
-3.61,-5.97,1
-5.07,-5.19,1
-3.92,4.07,1
-1.13,1.85,1
-2.46,-4.56,1
-4.48,-13.03,1
-4.2,-8.18,1
-3.38,-0.71,1
-2.44,3.6,1
-0.78,0.13,1
-2.71,-6.83,1
-4.55,-12.59,1
-3.89,-7.83,1
-2.51,-0.23,1
-2.17,3.02,1
-1.9,3.51,1
-0.62,0.56,1
-1.84,-6.3,1
-3,-9.16,1
-1.91,-6.16,1
-1.01,0.08,1
-0.88,3.26,1
-6.65,6.79,1
-2.55,3.11,1
-1.44,-1.43,1
-2.46,-9.04,1
-3.94,-12.88,1
-2.12,-6.9,1
-0.74,-0.33,1
-0.07,3.74,1
-4.23,4.92,1
-2.37,-0.44,1
-2.55,-7.36,1
-3.1,-10.46,1
-0.9,-4.49,1
0.56,1,1
0.54,3.89,1
-5.3,7.39,1
-3.36,0.36,1
-2.79,-5.71,1
-2,-6.61,1
0.15,0.12,1
1.21,4.07,1
0.3,4.89,1
-6.42,9.53,1
-3.99,2.62,1
-2.66,-1.61,1
-1.41,-2.13,1
0.11,1.97,1
0.52,3.64,1
-0.77,3.46,1
-3.97,3.68,1
-7.04,9.29,1
-4.94,3.3,1
-3.59,0.23,1
-2.17,0.12,1
-0.96,2.7,1
-1.08,2.2,1
-2.33,1.44,1
-3.72,1.9,1
-2.57,-0.96,1
-3.93,-6.08,1
-5.29,-5.15,1
-3.9,4.04,1
